Reference, Quantity, Value, Footprint, Datasheet, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock, MPN, SKU
C101 ,1,"0.1u","Capacitor_SMD:C_0402_1005Metric",""
C102 ,1,"0.1u DNP","Capacitor_SMD:C_0402_1005Metric",""
C103 ,1,"0.47u","Capacitor_SMD:C_0402_1005Metric",""
IC101 ,1,"PIC16F1459-I_SS","SamacSys_Parts:SOP65P780X200-20N","https://4donline.ihs.com/images/VipMasterIC/IC/MCHP/MCHPS05597/MCHPS05597-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0","8-bit Microcontrollers - MCU 14KB Fl 1kB R 48MHz Int. Oc 18 I0","2","Microchip","PIC16F1459-I/SS","579-PIC16F1459-I/SS","https://www.mouser.co.uk/ProductDetail/Microchip-Technology/PIC16F1459-I-SS?qs=PZkJWYMe7lds3WYNipntuQ%3D%3D","",""
J101 ,1,"53261-0671","SamacSys_Parts:532610671","https://www.molex.com/pdm_docs/sd/532610671_sd.pdf","1.25mm Pitch, PicoBlade PCB Header, Single Row, Right-Angle, Surface Mount, Tin (Sn) Plating, Friction Lock,  Circuits, Tape and Reel","3.6","Molex","53261-0671","538-53261-0671","https://www.mouser.co.uk/ProductDetail/Molex/53261-0671?qs=%252B72YyncTwW9Wyr77z4J2cA%3D%3D","",""
J102 ,1,"HEADER_6P-2.54","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","","","","","","","","P125-1106A1BS116A1","320020078"
JP101 JP102 ,2,"jumper pad","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm",""
R101 R102 R103 R105 R106 R110 R113 R114 ,8,"10k","Resistor_SMD:R_0603_1608Metric",""
R104 R107 R108 R109 R111 R112 ,6,"10k DNP","Resistor_SMD:R_0603_1608Metric",""
SW101 SW102 SW103 SW104 SW105 SW106 SW107 SW108 SW109 SW110 SW111 ,11,"SW_Push","MyLibrary:SFC_Pad_F_NoSolder_5.5mm",""
SW112 SW113 ,2,"TL6110CF160QP","SamacSys_Parts:TL6110CF160QP","https://componentsearchengine.com/Datasheets/1/TL6110CF160QP.pdf","E-SWITCH - TL6110CF160QP - TACT SW, SPST-NO-DB, 0.05A, 12V, SOLDER","8.25","E-Switch","TL6110CF160QP","612-TL6110CF","https://www.mouser.com/Search/Refine.aspx?Keyword=612-TL6110CF","",""
